"cname","year","pop"
"BOL",1946,2858000
"CHN",1946,548585984
"GRC",1946,7223000
"IRN",1979,36617000
"PHI",1946,18434000
"PHI",1972,38655000
"RUS",1946,169491008
"CHN",1947,553268992
"PAR",1947,1275000
"MYA",1948,18119000
"COS",1948,766000
"IND",1996,929358016
"ROK",1948,20208000
"YAR",1948,3169000
"YAR",1962,4129000
"GUA",1965,4388000
"CHN",1950,567558976
"CHN",1956,614649984
"CHN",1959,659939968
"INS",1950,74800000
"THI",1970,34676000
"CUB",1957,6513000
"INS",1953,78081000
"INS",1958,86446000
"ARG",1955,18574000
"ARG",1973,24757000
"IND",1956,397972992
"IRQ",1959,6473000
"IRQ",1991,17373000
"LEB",1958,1703000
"LEB",1975,2731000
"LAO",1959,2220000
"LAO",1963,2450000
"ETH",1976,32954000
"NEP",1997,21794680
"IRQ",1961,6847000
"ETH",1962,23083000
"SUD",1963,11736000
"SUD",1983,20236000
"DRC",1964,16923000
"DRC",1996,43848000
"DRC",1998,46709180
"BUI",1995,6024750
"CHA",1965,3287000
"CHA",1997,6937350
"COL",1965,17906000
"DOM",1965,3727000
"INS",1976,132589000
"PER",1980,16869000
"RVN",1955,23648000
"IND",1966,487336992
"SYR",1979,8164000
"CAM",1967,6313000
"CAM",1978,6780000
"NIG",1967,59954000
"SOM",1981,5853000
"GUI",2000,7250500
"PHI",1970,36446000
"PAK",1971,128724000
"SRI",1971,12516000
"SRI",1989,16587000
"UGA",1978,11862000
"UGA",1981,12807000
"UGA",1994,18030200
"UKG",1971,55632000
"SAL",1979,4374000
"OMA",1972,672000
"ZIM",1972,5416000
"CHL",1973,9853000
"BNG",1974,72425000
"CYP",1974,611000
"PAk",1974,66706000
"ANG",1975,6687000
"ANG",1998,11658890
"ETH",1975,32074000
"INS",1975,129499000
"MOR",1975,16908000
"MZM",1976,10606000
"AFG",1978,15957000
"AFG",2001,26550000
"NIC",1978,2573000
"NIC",1981,2802000
"LBR",1989,2340000
"SAF",1981,29529000
"IND",1983,718425984
"SRI",1983,15189000
"TUR",1984,47877000
"YPR",1986,2164000
"IND",1989,815590016
"INS",1989,171994000
"INS",1999,203678368
"RUM",1989,23054000
"RWA",1990,6715000
"RWA",1998,7895180
"SIE",1991,4136000
"YUG",1991,23809000
"ALG",1991,25003000
"AZE",1991,7242000
"BOS",1992,3837707
"CRO",1992,4782300
"EGY",1992,53602000
"GRG",1992,5460000
"TAJ",1992,5464000
"RUS",1994,148520000
"RUS",1999,146919008
"YEM",1994,14312000
"PAK",1995,119401848
"CON",1997,2633720
"CON",1998,2707600
"GNB",1998,1137060
"YUG",1998,10614000
